id,poids,valeur
0,10,20
1,11,21
2,13,24
3,12,23
4,14,26
5,15,28
6,16,30
7,17,32
8,19,36
9,18,34
10,20,40
11,21,42
12,23,46
13,22,44
14,24,48
15,25,50
16,26,52
17,27,54
18,29,58
19,28,56
20,30,60
21,31,62
22,33,66
23,32,64
24,34,68
25,35,70
26,36,72
27,37,74
28,39,78
29,38,76
30,40,80
31,41,82
32,43,86
33,42,84
34,44,88
35,45,90
36,46,92
37,47,94
38,49,98
39,48,96
40,50,100
41,51,102
42,53,106
43,52,104
44,54,108
45,55,110
46,56,112
47,57,114
48,59,118
49,58,116
50,60,120
51,61,122
52,63,126
53,62,124
54,64,128
55,65,130
56,66,132
57,67,134
58,69,138
59,68,136
60,70,140
61,71,142
62,73,146
63,72,144
64,74,148
65,75,150
66,76,152
67,77,154
68,79,158
69,78,156
70,80,160
71,81,162
72,83,166
73,82,164
74,84,168
75,85,170
76,86,172
77,87,174
78,89,178
79,88,176
80,90,180
81,91,182
82,93,186
83,92,184
84,94,188
85,95,190
86,96,192
87,97,194
88,99,198
89,98,196
90,100,200
91,101,202
92,103,206
93,102,204
94,104,208
95,105,210
96,106,212
97,107,214
98,109,218
99,108,216
