items ; Fit GEN ;  (ms)GEN;FIT BSO;TEMPS BSO
10;550;243;550;207
20;1166;161;1166;162
30;1740;184;1740;184
40;2579;267;2579;253
50;3248;416;3388;403
60;3881;344;4005;322
70;4511;424;4638;398
80;5001;492;5287;439
90;5444;538;5904;461
100;5753;607;6186;477
110;6471;863;6494;761
120;6344;1092;6745;549
130;6469;1107;6660;581
140;6942;1082;7169;817
150;6984;1302;6966;750
160;6961;1453;7102;768
170;6987;1515;7139;829
180;7365;1668;7233;789
190;7238;1923;7284;820
200;7269;1998;7282;966
;;;;
;;;;
;;;;
;;;;
;;;;
;items/2 =sacs;;;
